,userId,similar_user_1,similar_user_2,similar_user_3,similar_user_4,similar_user_5
2719,692.0,741.0,392.0,231.0,229.0,692.0
2721,693.0,353.0,365.0,1121.0,56.0,693.0
2724,695.0,1145.0,724.0,514.0,1182.0,695.0
2726,696.0,220.0,911.0,1019.0,1094.0,696.0
2727,697.0,741.0,392.0,150.0,229.0,697.0
2728,698.0,719.0,332.0,132.0,229.0,698.0
2730,699.0,1111.0,1120.0,455.0,1130.0,699.0
2735,700.0,20.0,332.0,1065.0,340.0,700.0
2736,701.0,427.0,853.0,33.0,703.0,701.0
2739,702.0,56.0,834.0,1104.0,1156.0,702.0
2750,703.0,1213.0,153.0,1052.0,953.0,703.0
2756,705.0,220.0,911.0,1019.0,1094.0,705.0
2757,706.0,529.0,956.0,332.0,514.0,706.0
2760,707.0,707.0,882.0,455.0,1120.0,707.0
2765,708.0,452.0,719.0,708.0,229.0,708.0
2768,710.0,576.0,983.0,710.0,390.0,710.0
2771,711.0,150.0,346.0,229.0,824.0,711.0
2778,713.0,1184.0,436.0,392.0,1104.0,713.0
2787,715.0,741.0,340.0,878.0,392.0,715.0
2799,717.0,430.0,1131.0,2.0,742.0,717.0
2807,719.0,719.0,825.0,392.0,741.0,719.0
2820,720.0,741.0,971.0,340.0,836.0,720.0
2821,721.0,721.0,850.0,682.0,606.0,721.0
2829,722.0,1111.0,431.0,722.0,298.0,722.0
2833,724.0,251.0,332.0,63.0,271.0,724.0
2843,726.0,346.0,151.0,661.0,506.0,726.0
2845,727.0,806.0,1156.0,527.0,429.0,727.0
2853,728.0,741.0,682.0,150.0,368.0,728.0
2868,729.0,1066.0,807.0,728.0,733.0,729.0
2872,731.0,619.0,1010.0,765.0,24.0,731.0
2881,732.0,1122.0,392.0,231.0,741.0,732.0
2888,733.0,741.0,1104.0,392.0,559.0,733.0
2905,734.0,37.0,727.0,461.0,450.0,734.0
2906,735.0,971.0,682.0,611.0,231.0,735.0
2908,736.0,340.0,332.0,825.0,392.0,736.0
2918,737.0,737.0,860.0,76.0,623.0,737.0
2921,738.0,825.0,738.0,567.0,479.0,738.0
2928,739.0,766.0,222.0,1178.0,231.0,739.0
2931,740.0,682.0,740.0,971.0,368.0,740.0
2945,741.0,231.0,392.0,340.0,368.0,741.0
2971,742.0,1066.0,191.0,971.0,741.0,742.0
2978,743.0,971.0,346.0,611.0,120.0,743.0
2981,745.0,20.0,332.0,581.0,1065.0,745.0
2982,746.0,825.0,457.0,746.0,1002.0,746.0
2991,748.0,56.0,748.0,728.0,559.0,748.0
2997,749.0,20.0,332.0,1065.0,340.0,749.0
2998,750.0,559.0,261.0,741.0,807.0,750.0
2999,751.0,1145.0,825.0,751.0,834.0,751.0
3009,752.0,965.0,752.0,1002.0,702.0,752.0
3015,753.0,427.0,1011.0,753.0,1192.0,753.0
3017,754.0,20.0,581.0,332.0,1065.0,754.0
3018,755.0,741.0,368.0,559.0,600.0,755.0
3029,757.0,1066.0,56.0,971.0,191.0,757.0
3033,758.0,543.0,451.0,1097.0,337.0,758.0
3036,760.0,879.0,2.0,682.0,900.0,760.0
3043,761.0,229.0,1095.0,483.0,931.0,761.0
3056,763.0,56.0,741.0,682.0,611.0,763.0
3057,764.0,1041.0,741.0,368.0,150.0,764.0
3059,765.0,24.0,1010.0,346.0,682.0,765.0
3070,766.0,231.0,483.0,741.0,971.0,766.0
3085,767.0,836.0,191.0,1122.0,971.0,767.0
3086,768.0,151.0,308.0,24.0,881.0,768.0
3090,772.0,468.0,1092.0,56.0,523.0,772.0
3099,773.0,773.0,469.0,346.0,120.0,773.0
3104,774.0,330.0,332.0,956.0,471.0,774.0
3106,775.0,49.0,1069.0,368.0,231.0,775.0
3119,776.0,778.0,120.0,251.0,63.0,776.0
3120,777.0,741.0,778.0,340.0,150.0,777.0
3121,778.0,392.0,340.0,741.0,231.0,778.0
3142,779.0,332.0,117.0,1145.0,514.0,779.0
3143,781.0,193.0,740.0,1177.0,781.0,781.0
3149,782.0,229.0,741.0,1136.0,766.0,782.0
3150,786.0,971.0,741.0,1122.0,346.0,786.0
3151,788.0,150.0,24.0,611.0,741.0,788.0
3156,789.0,682.0,340.0,392.0,231.0,789.0
3157,790.0,228.0,56.0,365.0,490.0,790.0
3161,792.0,619.0,1010.0,731.0,1012.0,792.0
3166,795.0,663.0,403.0,667.0,843.0,795.0
3167,796.0,567.0,120.0,825.0,346.0,796.0
3169,797.0,220.0,1019.0,701.0,911.0,797.0
3170,798.0,150.0,682.0,24.0,798.0,798.0
3177,799.0,741.0,392.0,231.0,150.0,799.0
3190,800.0,340.0,229.0,392.0,741.0,800.0
3193,801.0,801.0,262.0,279.0,153.0,801.0
3195,804.0,804.0,506.0,231.0,1069.0,804.0
3205,805.0,24.0,483.0,682.0,971.0,805.0
3221,806.0,56.0,741.0,429.0,231.0,806.0
3230,807.0,56.0,836.0,741.0,1177.0,807.0
3238,808.0,392.0,733.0,368.0,346.0,808.0
3239,809.0,1062.0,251.0,229.0,674.0,809.0
3244,810.0,1011.0,58.0,431.0,427.0,810.0
3246,812.0,382.0,426.0,898.0,27.0,812.0
3248,813.0,778.0,908.0,825.0,392.0,813.0
3250,815.0,611.0,24.0,120.0,483.0,815.0
3251,816.0,768.0,151.0,115.0,983.0,816.0
3253,817.0,191.0,225.0,882.0,193.0,817.0
3262,819.0,56.0,971.0,559.0,682.0,819.0
3263,820.0,971.0,733.0,682.0,392.0,820.0
3264,822.0,1119.0,822.0,990.0,1093.0,822.0
3266,824.0,229.0,971.0,368.0,741.0,824.0
3283,825.0,392.0,340.0,231.0,741.0,825.0
3300,826.0,220.0,911.0,1019.0,114.0,826.0
3301,828.0,931.0,834.0,429.0,1155.0,828.0
3313,829.0,829.0,1012.0,850.0,1010.0,829.0
3321,830.0,741.0,830.0,1156.0,482.0,830.0
3324,831.0,346.0,340.0,151.0,924.0,831.0
3327,832.0,24.0,346.0,832.0,567.0,832.0
3332,834.0,429.0,231.0,1104.0,56.0,834.0
3347,835.0,132.0,120.0,483.0,682.0,835.0
3353,836.0,741.0,340.0,392.0,930.0,836.0
3371,837.0,514.0,312.0,255.0,1062.0,837.0
3377,838.0,427.0,1011.0,498.0,58.0,838.0
3378,839.0,611.0,24.0,120.0,483.0,839.0
3379,840.0,840.0,366.0,1164.0,56.0,840.0
3386,842.0,741.0,533.0,225.0,1041.0,842.0
3390,843.0,904.0,509.0,843.0,403.0,843.0
3392,844.0,1178.0,741.0,930.0,231.0,844.0
3401,845.0,971.0,619.0,882.0,120.0,845.0
3408,846.0,191.0,225.0,638.0,524.0,846.0
3416,848.0,848.0,825.0,457.0,340.0,848.0
3424,849.0,1066.0,225.0,191.0,524.0,849.0
3437,850.0,850.0,682.0,971.0,368.0,850.0
3453,851.0,1093.0,851.0,1009.0,690.0,851.0
3457,852.0,56.0,1104.0,1114.0,1184.0,852.0
3464,853.0,427.0,1213.0,1187.0,436.0,853.0
3470,854.0,422.0,854.0,157.0,1009.0,854.0
3472,856.0,856.0,741.0,1122.0,600.0,856.0
3478,857.0,228.0,904.0,365.0,1100.0,857.0
3481,858.0,382.0,450.0,898.0,27.0,858.0
3483,860.0,340.0,741.0,392.0,231.0,860.0
3496,862.0,150.0,611.0,362.0,724.0,862.0
3498,863.0,56.0,922.0,559.0,429.0,863.0
3501,864.0,220.0,1019.0,701.0,911.0,864.0
3502,866.0,778.0,120.0,251.0,63.0,866.0
3503,867.0,871.0,611.0,483.0,1156.0,867.0
3505,869.0,392.0,778.0,340.0,132.0,869.0
3507,870.0,611.0,120.0,971.0,24.0,870.0
3510,871.0,611.0,825.0,483.0,132.0,871.0
3521,872.0,872.0,2.0,191.0,1066.0,872.0
3526,873.0,245.0,981.0,332.0,20.0,873.0
3530,875.0,1066.0,690.0,225.0,533.0,875.0
3538,877.0,988.0,392.0,1136.0,46.0,877.0
3542,878.0,741.0,340.0,231.0,778.0,878.0
3558,879.0,1034.0,366.0,487.0,682.0,879.0
3569,880.0,340.0,1145.0,719.0,825.0,880.0
3575,881.0,686.0,150.0,931.0,30.0,881.0
3583,882.0,1010.0,1012.0,191.0,225.0,882.0
3597,884.0,56.0,741.0,82.0,157.0,884.0
3599,885.0,741.0,340.0,778.0,150.0,885.0
3600,886.0,506.0,284.0,457.0,746.0,886.0
3608,887.0,988.0,368.0,1136.0,229.0,887.0
3622,888.0,340.0,483.0,741.0,120.0,888.0
3624,889.0,854.0,222.0,661.0,151.0,889.0
3625,890.0,682.0,191.0,1122.0,971.0,890.0
3626,891.0,461.0,661.0,887.0,567.0,891.0
3628,892.0,120.0,611.0,731.0,346.0,892.0
3633,893.0,340.0,1117.0,436.0,368.0,893.0
3638,894.0,682.0,231.0,1104.0,368.0,894.0
3639,896.0,611.0,229.0,368.0,120.0,896.0
3642,898.0,567.0,132.0,805.0,267.0,898.0
3648,900.0,879.0,366.0,1212.0,1034.0,900.0
3658,904.0,857.0,228.0,365.0,490.0,904.0
3661,908.0,978.0,1184.0,368.0,741.0,908.0
3671,911.0,911.0,701.0,220.0,387.0,911.0
3673,912.0,778.0,120.0,251.0,63.0,912.0
3674,913.0,427.0,498.0,1011.0,58.0,913.0
3675,914.0,220.0,911.0,95.0,589.0,914.0
3676,915.0,724.0,150.0,611.0,474.0,915.0
3678,916.0,24.0,1055.0,931.0,468.0,916.0
3683,918.0,346.0,918.0,120.0,150.0,918.0
3692,920.0,741.0,1136.0,392.0,778.0,920.0
3693,922.0,1104.0,56.0,429.0,834.0,922.0
3705,924.0,1069.0,506.0,231.0,1047.0,924.0
3724,925.0,682.0,533.0,606.0,325.0,925.0
3731,926.0,836.0,926.0,225.0,533.0,926.0
3736,927.0,611.0,24.0,741.0,120.0,927.0
3739,928.0,220.0,911.0,1019.0,1094.0,928.0
3740,930.0,392.0,741.0,231.0,1114.0,930.0
3755,931.0,368.0,741.0,483.0,231.0,931.0
3771,933.0,871.0,775.0,933.0,271.0,933.0
3776,934.0,682.0,740.0,261.0,400.0,934.0
3781,936.0,506.0,611.0,120.0,398.0,936.0
3784,937.0,368.0,229.0,1069.0,741.0,937.0
3797,938.0,56.0,741.0,682.0,611.0,938.0
3798,940.0,940.0,88.0,298.0,80.0,940.0
3801,941.0,1020.0,353.0,619.0,319.0,941.0
3803,942.0,332.0,471.0,981.0,1145.0,942.0
3805,943.0,1066.0,533.0,225.0,971.0,943.0
3809,944.0,56.0,741.0,682.0,611.0,944.0
3810,946.0,422.0,222.0,346.0,661.0,946.0
3811,948.0,533.0,1093.0,1041.0,882.0,948.0
3814,950.0,956.0,529.0,1003.0,514.0,950.0
3816,951.0,332.0,37.0,1145.0,567.0,951.0
3820,952.0,1164.0,319.0,1010.0,468.0,952.0
3824,953.0,56.0,1213.0,1010.0,741.0,953.0
3832,954.0,20.0,332.0,340.0,1065.0,954.0
3833,955.0,212.0,860.0,82.0,56.0,955.0
3837,956.0,672.0,713.0,544.0,1002.0,956.0
3845,957.0,957.0,980.0,623.0,485.0,957.0
3848,958.0,682.0,1104.0,231.0,368.0,958.0
3849,959.0,37.0,461.0,727.0,661.0,959.0
3850,961.0,225.0,1041.0,1119.0,533.0,961.0
3854,963.0,229.0,98.0,392.0,824.0,963.0
3862,965.0,825.0,567.0,340.0,1156.0,965.0
3872,967.0,20.0,332.0,1065.0,340.0,967.0
3873,968.0,825.0,332.0,567.0,340.0,968.0
3876,969.0,611.0,24.0,766.0,340.0,969.0
3880,971.0,741.0,682.0,229.0,231.0,971.0
3903,973.0,559.0,741.0,261.0,733.0,973.0
3904,974.0,567.0,330.0,1145.0,457.0,974.0
3907,978.0,56.0,741.0,559.0,1104.0,978.0
3917,979.0,338.0,991.0,395.0,418.0,979.0
3923,980.0,151.0,980.0,623.0,957.0,980.0
3926,981.0,702.0,834.0,878.0,56.0,981.0
3937,982.0,1219.0,982.0,24.0,468.0,982.0
3940,983.0,576.0,390.0,359.0,157.0,983.0
3944,984.0,882.0,229.0,150.0,346.0,984.0
3949,986.0,853.0,24.0,427.0,368.0,986.0
3951,987.0,56.0,741.0,682.0,611.0,987.0
3952,988.0,229.0,741.0,988.0,1184.0,988.0
3964,989.0,56.0,971.0,261.0,682.0,989.0
3969,990.0,1041.0,1119.0,853.0,1060.0,990.0
3974,991.0,979.0,991.0,261.0,418.0,991.0
3980,992.0,191.0,971.0,836.0,1076.0,992.0
3982,993.0,279.0,1031.0,24.0,1184.0,993.0
3986,994.0,971.0,741.0,191.0,611.0,994.0
3990,995.0,995.0,552.0,599.0,670.0,995.0
3992,997.0,567.0,1145.0,37.0,20.0,997.0
3994,998.0,882.0,998.0,191.0,740.0,998.0
4001,999.0,229.0,741.0,1136.0,415.0,999.0
4003,1000.0,854.0,222.0,661.0,151.0,1000.0
4004,1002.0,834.0,429.0,340.0,825.0,1002.0
4015,1003.0,924.0,1117.0,715.0,1145.0,1003.0
4023,1004.0,611.0,120.0,340.0,483.0,1004.0
4025,1007.0,229.0,741.0,1136.0,766.0,1007.0
4026,1009.0,690.0,1093.0,468.0,875.0,1009.0
